ATD1,ATD2,ATD3,SN1,SN2,SN3,SN4,BC1,BC2,BC3,BC4,ID1,ID2,ID3,ID4,AD1,AD2,AD3,AD4,,,,,,,
5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,,,,,,,
5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,,,,,,,
5,5,5,5,4,5,5,5,4,4,2,4,4,4,4,5,5,5,4,,,,,,,
5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,5,5,4,4,,,,,,,
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,
5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,,,,,,,
5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,,,,,,,
5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,4,,,,,,,
5,4,4,5,4,5,4,4,4,4,3,3,4,4,3,4,4,4,3,,,,,,,
5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,,,,,,,
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,
5,5,5,5,5,4,4,5,4,5,5,5,4,4,5,4,4,5,5,,,,,,,
5,5,5,5,4,4,4,4,4,3,4,4,4,4,3,4,3,4,3,,,,,,,
5,4,4,5,4,4,3,4,4,4,4,4,4,4,3,5,4,4,5,,,,,,,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,,,,,,,
5,5,5,5,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,,,,,,,
5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,4,5,5,,,,,,,
5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,4,4,,,,,,,
5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,,,,,,,
5,5,4,5,5,5,5,5,5,5,4,5,5,5,4,5,3,4,5,,,,,,,
5,5,5,5,5,5,5,4,4,5,4,4,5,5,4,5,5,5,4,,,,,,,
5,4,5,5,4,4,4,4,3,3,4,4,4,4,4,5,4,4,4,,,,,,,
5,5,5,5,5,4,5,4,3,4,5,5,5,5,5,5,5,5,4,,,,,,,
5,5,5,5,4,4,4,5,5,5,5,4,4,5,5,5,5,5,4,,,,,,,
5,5,4,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,4,,,,,,,
5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,
5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5,5,5,,,,,,,
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,
5,5,5,5,5,5,5,5,5,5,4,3,5,5,4,5,5,5,5,,,,,,,
5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,,,,,,,
5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,
4,4,4,3,3,4,3,3,3,4,4,3,4,3,3,4,4,4,4,,,,,,,
4,5,4,4,5,4,4,3,3,4,4,3,4,4,4,5,4,4,3,,,,,,,
5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,,,,,,,
5,4,5,4,5,4,4,4,4,4,3,3,4,4,4,5,5,4,5,,,,,,,
4,4,5,4,3,3,4,3,4,3,5,3,4,4,3,5,4,4,5,,,,,,,
5,5,5,5,5,4,5,5,3,3,4,5,3,4,4,5,3,4,3,,,,,,,
4,4,4,5,3,4,4,4,4,4,3,4,4,4,3,5,4,4,4,,,,,,,
5,5,4,5,5,5,4,5,4,5,4,5,4,5,4,5,5,5,5,,,,,,,
5,5,5,5,5,5,5,3,4,5,5,4,4,5,3,5,5,5,5,,,,,,,
5,5,5,5,5,5,4,4,4,4,4,3,4,4,2,5,4,5,5,,,,,,,
5,5,4,4,4,3,3,4,4,5,3,4,5,4,5,4,5,5,5,,,,,,,
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,
4,5,4,4,4,5,4,4,4,4,4,3,4,4,4,5,4,4,5,,,,,,,
5,5,5,5,5,5,5,5,5,4,5,4,4,5,4,5,5,5,4,,,,,,,
5,5,5,4,4,4,4,4,4,5,4,4,4,4,4,5,5,5,4,,,,,,,
5,5,5,5,5,5,4,5,5,4,4,5,4,5,5,5,5,5,4,,,,,,,
5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,5,4,5,4,,,,,,,
5,5,4,4,4,5,5,5,4,5,4,1,3,2,3,4,5,5,5,,,,,,,
